INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria;Área Vistoria
17.017.025;46.0.0021.0190; 20/07/2021 ; 18/10/2021 ;;BATISTA GANZ;227;SANTO INÁCIO;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Santa Felicidade;2;1;;377.508;;******;CONSTRUÇÃO;;503,22;558,77;;0,00;558,77;0,00;0;0;CONSTANCA LACERDA CAMARGO;A0625485;EVERSON FEDALTO;PR142224D;FEDALTO ENGENHARIA LTDA;409475;Total; 01/04/2025 ;558,77
17.037.044;46.1.0020.0184; 27/11/2024 ; 25/02/2025 ;;PEDRO KLASSA;131;SANTO INÁCIO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;1;;406.673;;******;CONSTRUÇÃO;;654,50;215,06;;0,00;215,06;0,00;0;0;CECILIA MARIA PAULA DE OLIVEIRA;A0439169;CECILIA MARIA PAULA DE OLIVEIRA;A0439169;;409491;Total; 01/04/2025 ;215,06
17.041.030;46.1.0058.0164; 25/02/2025 ; 26/05/2025 ;;LUIZ KULA;101;SANTO INÁCIO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;;408.695;;Conjunto Habitacional;CONSTRUÇÃO;;19.638,62;410,98;;0,00;410,98;0,00;0;0;KATIA ELAINE SIQUEIRA CARRARO;PR136866D;FELIPE DE OLIVEIRA MANCHUR;PR0000144258D;;409464;Total; 01/04/2025 ;410,98
44.058.031;23.0.0041.0134; 06/01/2023 ; 06/04/2023 ;;SILVEIRA MARTINS;120;GUABIROTUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Cajuru;2;8;;390.592;;******;CONSTRUÇÃO;;1.074,06;1.206,16;;0,00;1.206,16;0,00;0;0;RUDI VALDEMAR REINER JUNIOR;PR0000062350D;RUDI VALDEMAR REINER JUNIOR;PR0000062350D;;409457;Total; 01/04/2025 ;1.206,16
59.014.020;63.3.0015.0094; 12/12/2024 ; 12/03/2025 ;;GERONIMO MURARO;265;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;2;;407.130;;******;CONSTRUÇÃO;;441,00;304,33;;0,00;304,33;0,00;0;0;JEAN CARLOS ALBERTI;PR0000124092D;JEAN CARLOS ALBERTI;PR0000124092D;;409472;Total; 01/04/2025 ;304,33
62.053.024;39.0.0011.0294; 12/09/2023 ; 11/12/2023 ;;CAPITÃO JOSÉ MARIA SOBRINHO;524;FANNY;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 11 - S. SUL-AIB3;Unidade Regional Pinheirinho;8;28;;396.245;;******;CONSTRUÇÃO;;960,00;3.062,27;906;1.159,92;3.062,27;0,00;0;0;PEDRO SUNYE BARBOSA DA SILVA;A1179535;MARCELO BALLAROTT TFARDOWSKI;A0450812;;409484;Total; 01/04/2025 ;3.062,27
76.077.014;35.1.0028.0060; 16/10/2015 ; 14/01/2016 ;;GUILHERME IHLENFELDT;399;BACACHERI;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Boa Vista;1;1;2;338.558;;"******; Edícula / Dependência";CONSTRUÇÃO;;456,00;222,46;0;0,00;222,46;0,00;0;0;LAURO HENRIQUE BITTENCOURT GROLLMANN;PR0000015730D;LAURO HENRIQUE BITTENCOURT GROLLMANN;PR0000015730D;;409460;Total; 01/04/2025 ;222,46
82.198.030;73.4.0004.0770; 29/07/2022 ; 27/10/2022 ;;DO GANCHINHO- LD;2.530;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;;386.647;;Conjunto Habitacional;CONSTRUÇÃO;;28.860,50;143,14;;0,00;143,14;0,00;0;0;ERICK TARCISIO DE CONTO;PR0000143748D;ERICK TARCISIO DE CONTO;PR0000143748D;;409481;Total; 01/04/2025 ;143,14
82.616.048;65.6.0172.0186; 14/01/2016 ; 13/04/2016 ;;JOÃO FERREIRA;123;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;;340.239;;******;CONSTRUÇÃO;;126,00;92,40;0;0,00;92,40;0,00;;;MARIANA Y MOLINA SELLUCIO;A0436046;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;409488;Total; 01/04/2025 ;92,40
82.616.049;65.6.0172.0176; 14/01/2016 ; 13/04/2016 ;;JOÃO FERREIRA;131;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;;340.240;;******;CONSTRUÇÃO;;126,00;92,40;0;0,00;92,40;0,00;;;MARIANA Y MOLINA SELLUCIO;A0436046;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;409489;Total; 01/04/2025 ;92,40
