Indicação Fiscal;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
12.011.026;01.1.0017.0086; 01/04/2015 ; 30/06/2015 ;;UBALDINO DO AMARAL;480;CENTRO;ZR4 - ZONA RESIDENCIAL 4 - INCENTIVO ALTO DA XV;Unidade Regional Matriz;2;0;1;334.420;"COMÉRCIO E SERVIÇO SETORIAL; ESTACIONAMENTO COBERTO; SEDE ADMINISTRATIVA";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";681,25;758,15;0;0,00;758,15;0,00;0;1;ABDON JORGE UADI;PR0000003839D;DAFNE LOUREIRO SEMIM;A1205501;;;;
29.069.052;44.4.0001.0240; 01/04/2015 ; 30/06/2015 ;;ANGELO BOM;196;CAMPO COMPRIDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Santa Felicidade;2;1;0;334.438;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";13.396,75;229,61;0;0,00;229,61;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
37.022.051;63.1.0047.0514; 01/04/2015 ; 30/06/2015 ; 27/03/2019 ;FRANCISCA AZOLIN;171;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;0;334.436;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";64.468,82;709,76;0;0,00;709,76;0,00;0;0;MARCIA MARIA DOS SANTOS SANTORO;A0842788;RAFAEL RIBEIRO DOS SANTOS GLUCK;;;;;
38.083.025;36.5.0022.0400; 01/04/2015 ; 30/06/2015 ;;ADILIO RAMOS;2.487;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;4;0;334.422;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";500,00;560,72;0;0,00;560,72;0,00;0;0;ROBERTO TADASHI OKADA;PR0000067540D;ROBERTO TADASHI OKADA;PR0000067540D;;;;
38.102.038;36.5.0055.0302; 01/04/2015 ; 30/06/2015 ;;JOSÉ VERÍSSIMO;1.375;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;6;1;334.429;"COMÉRCIO E SERVIÇO SETORIAL; HABITAÇÃO COLETIVA";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.000,00;713,58;0;0,00;713,58;0,00;0;0;AHIRAM ROQUISTSKI;;AHIRAM ROQUISTSKI;;;;;
39.041.120;63.2.0045.0102; 01/04/2015 ; 30/06/2015 ;;ANTONIO ESCORSIN;504;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;0;334.437;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";31.798,89;286,09;0;0,00;286,09;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;PORTO FELIZ EMPREENDIMENTOS E CONSTRUCOES LTDA;;;
59.107.129;63.2.0054.0340; 01/04/2015 ; 30/06/2015 ;;VEREADOR TOALDO TÚLIO;895;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;0;334.439;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";30.697,81;299,09;0;0,00;299,09;0,00;0;0;VIRGINIA DE MACEDO FRAIZ;A0450936;GUSTAVO ANDRE TULIO;PR0000061088D;;;;
71.075.051;32.3.0019.0300; 01/04/2015 ; 30/06/2015 ; 12/07/2016 ;DESEMBARGADOR JOSÉ CARLOS RIBEIRO RIBAS;303;PILARZINHO;ZR2 - Zona Residencial 2 - SETOR ZONA DE AMORTECIMENTO PARQUE NATURAL MUNICIPAL DO TANGUÁ;Unidade Regional Boa Vista;2;1;0;334.421;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";39.937,65;441,85;0;0,00;441,85;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;BORTOLON ARQUITETURA E INCORPORACOES LTDA;;;
82.945.003;73.4.0113.0272; 01/04/2015 ; 30/06/2015 ; 04/04/2016 ;EDITH BARBOSA SOUTO;501;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;2;0;334.430;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;128,08;0;0,00;128,08;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;FRANCA FELIPPE ABRAHAO FILHO;PR0000016065D;;;;
86.152.026;56.2.0069.0266; 01/04/2015 ; 30/06/2015 ; 15/04/2016 ;PROFESSORA JOANITA BERNETT PASSOS;1.288;BOQUEIRÃO;ZS1 - ZONA DE SERVIÇOS 1;Unidade Regional Boqueirao;2;0;1;334.423;COMÉRCIO E SERVIÇO GERAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";783,75;468,00;0;0,00;468,00;0,00;0;0;NOBUO ENOMOTO;A0031305;NOBUO ENOMOTO;A0031305;;;;
86.427.005;64.1.0001.0368; 01/04/2015 ; 30/06/2015 ;;FRANCISCO DEROSSO;5.747;ALTO BOQUEIRÃO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Boqueirao;1;1;0;334.424;HABITAÇÃO UNIFAMILIAR;Edícula / Dependência;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";480,00;287,95;0;0,00;81,44;0,00;0;0;CRISTIANO KAMINSKI LARSEN;PR0000070117D;CRISTIANO KAMINSKI LARSEN;PR0000070117D;;;;
11.115.042;11.1.0106.0162; 01/06/2015 ; 31/08/2015 ;;SALDANHA MARINHO;1.381;BIGORRILHO;ZR4 - ZONA RESIDENCIAL 4 - INCENTIVO BATEL;Unidade Regional Matriz;0;1;0;335.779;HABITAÇÃO COLETIVA;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";464,00;0,00;0;0,00;0,00;107,50;0;0;;;;;;;;
12.015.053;01.1.0008.0502; 01/06/2015 ; 31/08/2015 ;;PRESIDENTE CARLOS CAVALCANTI;327;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;0;1;0;335.763;HABITAÇÃO COLETIVA;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.150,00;0,00;0;0,00;0,00;100,00;0;0;;;;;;;;
