ZONA,CA_BASICO,CA_MAXIMO,USOS_PERMITIDOS,USOS_PERMISSIVEIS
EE - EIXO ESTRUTURAL/VIA CENTRAL,4.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comércio e Serviço Vicinal; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria do Tipo 1 (somente alvará de funcionamento para edificação existente)",Comunitário 3
EE - EIXO ESTRUTURAL/VIAS EXTERNAS,4.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Edifício Garagem; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
EE - EIXO ESTRUTURAL/OUTRAS VIAS,4.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comércio e Serviço Vicinal, de Bairro e Setorial; Edifício Garagem; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ENC - EIXO NOVA CURITIBA/VIA CENTRAL E OUTRAS VIAS,2.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comércio e Serviço Vicinal, de Bairro e Setorial; Comunitário 1 e 2; Posto de Abastecimento (proibido na via central)",Comunitário 3
ENC - EIXO NOVA CURITIBA/VIAS EXTERNAS,2.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)","Comunitário 1, 2 e 3"
EMF - EIXO MARECHAL FLORIANO PEIXOTO/VIA CENTRAL/OUTRAS VIAS,1.0,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento inclusivo de habitação de interesse social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento e Serviço; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
EAC - EIXO PRESIDENTE AFFONSO CAMARGO/VIA CENTRAL-TESTADA PARA AV. PRES. AFFONSO CAMARGO E AV. PREF. MAURÍCIO FRUET,1.5,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento inclusivo de habitação de interesse social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
EAC - EIXO PRESIDENTE AFFONSO CAMARGO/OUTRAS VIAS,1.5,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento inclusivo de habitação de interesse social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
POLO-LV - POLO DA LINHA VERDE,1.0,LIVRE,"Habitação Coletiva; Habitação Institucional; Habitação Transitória 1 e 2; Comunitário 1 e 2; Comunitário Ensino; Comércio e Serviço Vicinal, de Bairro e Setorial; Comércio e Serviço Específico 1",Habitação Unifamiliar
SE-LV - SETOR ESPECIAL DA LINHA VERDE,1.0,LIVRE,"Habitação Coletiva; Habitação Institucional; Habitação Transitória 1 e 2; Comunitário 1 e 2; Comunitário 3-Ensino; Comércio e Serviço Vicinal, de Bairro e Setorial; Comércio e Serviço Específico 1; Habitações Unifamiliares em Série",Residência Unifamiliar
ZT-LV - ZONA DE TRANSIÇÃO DA LINHA VERDE,1.0,2.5,Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Edifício de Escritórios; Comunitário 2 Culto Religioso; Comunitário 1; Comércio e Serviço Vicinal e de Bairro,Residências Unifamiliares em Série
ZR4 - ZONA RESIDENCIAL 4 (EMLV),1.0,2.5,"Habitação Coletiva; Habitação Institucional; Habitação Transitória 3; Comunitário 2 Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial",
ZED - ZONA ESPECIAL DESPORTIVA,0.5,2.5,"Habitação Transitória 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Comunitário 1, 2 e 3; Usos vinculados às atividades desportivas",Residência Unifamiliar
ZS2 - ZONA DE SERVIÇO 2 (EMLV),1.0,2.5,"Habitação Transitória 2 e 3; Comércio e Serviço Vicinal, de Bairro, Setorial e Geral; Comunitário 2-Culto Religioso; Indústria tipo 1 e 2; Comércio e Serviço Específico 1 e 2","1 Residência Unifamiliar; Comunitário 2-Lazer, Cultura e Ensino"
